,Tweet,score
96,__label__NEUTRAL VirginAmerica I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile httptcoAvyqdMpiY,0
97,__label__NEGATIVE VirginAmerica  Let  scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,-1
98,__label__NEUTRAL virginamerica What is your phone number I cant find who to call about a flight reservation,0
99,__label__NEGATIVE VirginAmerica is anyone doing anything there today  Website is useless and no one is answering the phone,-1
100,__label__NEUTRAL VirginAmerica trying to add my boy Prince to my ressie SF this Thursday VirginAmerica from LAX httptcoGsBJcgM,0
101,__label__NEGATIVE VirginAmerica why must a traveler miss a flight to Late Flight check a bag  I missed my morning appointments and you lost my business sfolax,-1
102,__label__POSITIVE VirginAmerica check out new music httptcomaRcnOCWzn,1
103,__label__POSITIVE virginamerica hows a direct flight FLLgtSFO have unexpected layover in Vegas  fuel yet peeps next to me bought for Vegas flight sneaky,1
104,__label__POSITIVE VirginAmerica your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp,1
105,__label__POSITIVE VirginAmerica  amazing customer  service again twoheartstwohearts RaeAnn in SF  shes the best customerservice virginamerica flying,1
106,__label__POSITIVE VirginAmerica called your service line and was hung up on This is awesome sarcasm,1
107,__label__NEGATIVE VirginAmerica your site is tripping Im trying to check in and Im getting the plain text version I am reluctant to enter any card info,-1
108,__label__NEGATIVE VirginAmerica I was scheduled for SFO  DAL flight  today Changed to th due weather Looks like flight still on,-1
109,__label__POSITIVE VirginAmerica has getaway deals through May from  oneway Lots of cool cities httptcotZZJhuIbCH CheapFlights FareCompare,1
110,__label__POSITIVE VirginAmerica has getaway deals through May from  oneway Lots of cool cities httptcoRPdBpXwNd CheapFlights FareCompare,1
111,__label__POSITIVE VirginAmerica has getaway deals through May from  oneway Lots of cool cities httptcoBXiYGT CheapFlights FareCompare,1
112,__label__POSITIVE VirginAmerica has getaway deals through May from  oneway Lots of cool cities httptcoQDlJHslOI CheapFlights FareCompare,1
113,__label__POSITIVE VirginAmerica Have a great week sunwithfaceairplane,1
114,__label__NEGATIVE VirginAmerica come back to PHL already We need you to take us out of this horrible cold pleasecomeback httptcogLXFwPnQH,-1
115,__label__POSITIVE VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop,1
116,__label__POSITIVE VirginAmerica is the best airline I have flown onEasy to change your reservationhelpful representatives amp a comfortable flying experience,1
117,__label__POSITIVE VirginAmerica and again Another rep kicked butt Naelah represents your team so beautifully Thank you,1
118,__label__POSITIVE VirginAmerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,1
119,__label__POSITIVE VirginAmerica Love the team running Gate E at LAS tonight Waited for a delayed flight and they kept things entertaining,1
120,__label__NEUTRAL VirginAmerica Use another browser  amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,0
121,__label__NEGATIVE VirginAmerica And now the flight Flight Booking Problems site is totally down Folks what is the problem,-1
122,__label__NEGATIVE VirginAmerica I like the customer service but a  min delay just for connecting passengers seems too long VA,-1
123,__label__POSITIVE VirginAmerica thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight,1
124,__label__POSITIVE VirginAmerica you have the absolute best team and customer service ever  Every time I fly with you Im delighted  Thank you,1
125,__label__POSITIVE VirginAmerica Do you provide complimentary upgrades to first class if there are available seats,1
126,__label__NEUTRAL VirginAmerica i need to change my flight thats scheduled in  hours and  min wait time on phone Im calling intern Help,0
127,__label__POSITIVE VirginAmerica completely awesome experience last month BOSLAS nonstop Thanks for such an awesome flight and depart time VAbeatsJblue,1
128,__label__NEUTRAL VirginAmerica How can I watch the Oscars on my JFKgtSFO flight,0
129,__label__NEUTRAL VirginAmerica is flight  Cancelled Flightled and what do I do if it is,0
130,__label__NEUTRAL VirginAmerica you are failing your customers because your check in process does not link to TSA precheck,0
131,__label__NEGATIVE VirginAmerica FiDiFamilies us too Terrible airline Just gave us a hotel hotline number and said sorry,-1
132,__label__NEUTRAL VirginAmerica has flight number  from SFO to Cabo San Lucas arrived yet,0
133,__label__NEUTRAL VirginAmerica ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you,0
134,__label__NEUTRAL VirginAmerica Another delayed flight likingyoulessandless,0
135,__label__POSITIVE VirginAmerica I need to register a service dog for a first class ticket from SFO gt Dulles The phone queue is an hour or longer Pls advise,1
136,__label__NEUTRAL virginamerica you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars,0
137,__label__NEUTRAL VirginAmerica reallytallchris dropped a track on you httpstcozvptTRK,0
138,__label__NEUTRAL VirginAmerica always Xoxo,0
139,__label__NEGATIVE VirginAmerica why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated,-1
140,__label__NEGATIVE VirginAmerica Youd think paying an extra  bucks RT for luggage might afford you hiring an extra hand at sfo lame,-1
141,__label__POSITIVE VirginAmerica best customer service rep in the world irmafromDallas takes the cake,1
142,__label__POSITIVE VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday That would be great customer service grinningfacewithbigeyes,1
143,__label__NEUTRAL VirginAmerica please provide status for flight   I cant imagine its on time as the Web indicates  dude to weather here andor Dallas,0
144,__label__POSITIVE VirginAmerica you have amazing staff amp super helpful as I just ran the WaltDisneyWorld PrincessHalf they have spoiled me with comfort,1
145,__label__POSITIVE VirginAmerica I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face ,1
146,__label__NEUTRAL VirginAmerica question is it not possible to book a seat for an infant under  Its not giving me the option but we want a seat for him,0
147,__label__POSITIVE Always have it together Youre welcome RT VirginAmerica jessicajaymes Youre so welcome,1
148,__label__NEUTRAL virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcoVXvBCTdLf,0
149,__label__NEUTRAL VirginAmerica I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy,0
150,__label__NEGATIVE VirginAmerica does that mean you dont have a policy for destroyed luggage,-1
151,__label__POSITIVE VirginAmerica is there special assistance if I travel alone w kids and  infant Priority boarding,1
152,__label__POSITIVE VirginAmerica thank you for checking in tickets are purchased and customer is happy ,1
153,__label__NEUTRAL VirginAmerica is your website ever coming back online,0
154,__label__POSITIVE VirginAmerica   Is Flight  from Love Field to SFO definitely Cancelled Flightled for Monday February ,1
155,__label__NEUTRAL VirginAmerica Is flight  out of LGA to DFW on time,0
156,__label__POSITIVE VirginAmerica my drivers license is expired by a little over a month Can I fly Friday morning using my expired license,1
157,__label__NEUTRAL VirginAmerica having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone  phone is  minute wait,0
158,__label__NEUTRAL VirginAmerica How do I reschedule my Cancelled Flightled flights online The change button is greyed out,0
159,__label__NEUTRAL VirginAmerica I rang but there is a wait for  minutes I can book the same ticket through a vendor fix your site,0
160,__label__NEUTRAL VirginAmerica got a flight we were told for  todaychecked my email and its for  TOMORROW This is unacceptable,0
161,__label__NEUTRAL VirginAmerica our flight into lga was Cancelled Flighted Were stuck in Dallas I called to reschedule told I could get a flight for today,0
162,__label__NEUTRAL virginamerica why dont any of the pairings include red wine Only white is offered  redwineisbetter,0
163,__label__NEGATIVE VirginAmerica is the website down,-1
164,__label__POSITIVE VirginAmerica  Your site seems a little wonked right now May want to have a look Tried on two browsers No CSS httptcoqsQMMKF,1
165,__label__NEGATIVE VirginAmerica Im disappointed that the agent at the designated silver status check in line DullesAirport closed to assist all pasengers,-1
166,__label__NEUTRAL VirginAmerica Plans to Include Austin to its Dallas Route  TopNews Arab Emirates httptcoaqZWecOkk,0
167,__label__POSITIVE VirginAmerica Is it normal to receive no reply from Central Baggage baggageissues smh,1
168,__label__NEUTRAL VirginAmerica at Logan airport and waiting to checkin for my am flight Checkin desk not open  Why,0
169,__label__NEUTRAL VirginAmerica to jump into the DallasAustin market  DallasNews httptcoEwwGigdx,0
170,__label__NEUTRAL VirginAmerica Beats EPS Views Takes On SouthwestAir VA LUV  Investors Business Daily httptcoFLwmGDAHxu,0
171,__label__NEUTRAL VirginAmerica Lister to my show my on Monday  ,0
172,__label__NEUTRAL VirginAmerica to begin DallasAustin flights in April   KETR httptcoSSUVWwkyHH,0
173,__label__NEGATIVE VirginAmerica congrats you just got all my business from EWR to SFOLAX Fuck you united fl SFOEWR was the clincher,-1
174,__label__NEGATIVE VirginAmerica  I applied over  weeks ago Havent heard back and Im flying this week disappointed,-1
175,__label__POSITIVE VirginAmerica Id love to know what your policy is for damaged luggage,1
176,__label__NEUTRAL VirginAmerica Thank you for the follow,0
177,__label__POSITIVE VirginAmerica  too many apologies You r the worse airlines Dont even respond to your cudtomers,1
178,__label__NEGATIVE VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK Who will reimburse me,-1
179,__label__NEUTRAL VirginAmerica TTINAC I DM you,0
180,__label__POSITIVE VirginAmerica can you please have flights in  SJC  I have no choice but to fly Southwest to Vegas wearyfaceloudlycryingface,1
181,__label__NEGATIVE VirginAmerica too bad you say it takes  to  days via YOUR confirmation email When I inquired after  weeks you claim  to  weeks,-1
182,__label__NEUTRAL VirginAmerica Flight from BOS gt LAS tomorrow was Cancelled Flightled No notification wait times are  hour Will you rebook on another airline,0
183,__label__NEUTRAL smilingfacewithsunglasses RT VirginAmerica You’ve met your match Got status on another airline Upgrade restr httptcoRHKaMxVF httptcoPYalebgkJt,0
184,__label__POSITIVE VirginAmerica Only way to fly Elevate Gold,1
185,__label__NEUTRAL VirginAmerica If only you guys had flights from CMH,0
186,__label__NEGATIVE VirginAmerica a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever,-1
187,__label__NEGATIVE VirginAmerica  for all my flight stuff wrong and did nothing about it Had worst flight ever,-1
188,__label__NEGATIVE VirginAmerica Having an issue finding a missing item on a plane Can you help me find which airport my plane headed to next,-1
189,__label__POSITIVE VirginAmerica you will match my AmericanAirlines status Cool,1
190,__label__NEUTRAL “VirginAmericaYouve met your matchGot status on another airline Upgrade  httptcoHrDKTqy” asarcoESar  hearnoevilmonkey,0
191,__label__NEUTRAL VirginAmerica trying to book a flight with you guys and your website wont let me about to lose my business,0
192,__label__NEUTRAL VirginAmerica you suck,0
193,__label__POSITIVE VirginAmerica thanks,1
194,__label__NEUTRAL VirginAmerica Just DMd Same issue persisting,0
195,__label__POSITIVE VirginAmerica Because we never recd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids,1
196,__label__NEGATIVE VirginAmerica trying to book a flight amp your site is down beamingfacewithsmilingeyes,-1
197,__label__NEUTRAL VirginAmerica You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didnt do anything,0
198,__label__NEGATIVE VirginAmerica you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed  expected better,-1
199,__label__POSITIVE VirginAmerica I love your guys song Were dancing to it for our high school dance revue,1
200,__label__NEGATIVE VirginAmerica Your website is down and Im trying to check in,-1
201,__label__POSITIVE VirginAmerica done Thank you for the quick response apparently faster than sitting on hold ,1
202,__label__NEUTRAL VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow Just sent you a DM to help me,0
203,__label__POSITIVE VirginAmerica cool picture of another VirginAmerica plane off our wing What a site httptcoBagFdc,1
204,__label__POSITIVE VirginAmerica Keep up the great work ,1
205,__label__POSITIVE VirginAmerica my goodness your people love field are amazing under pressure redheartfrom Texas beatstheothers in crisis Please fly me to NY,1
206,__label__POSITIVE VirginAmerica Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now seriously,1
207,__label__POSITIVE VirginAmerica can you please get me to the new york area before monday afternoon,1
208,__label__POSITIVE VirginAmerica Thanks so much for the awesome support you guys rock,1
209,__label__NEUTRAL VirginAmerica seats in Row  dont recline should mention that on your website soreback,0
210,__label__POSITIVE VirginAmerica flight  delayed  hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink,1
211,__label__NEUTRAL VirginAmerica why Cancelled Flight flights today No precipitation to be scared of  snowflakesnowflakesnowflake,0
212,__label__NEGATIVE VirginAmerica twitter team you guys killed it for rescheduling me asap thank you,-1
213,__label__NEUTRAL VirginAmerica You guys charged me  to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it Whats the deal,0
214,__label__NEUTRAL VirginAmerica can’t access your website from Safari on iPhone  Seems to work on Mac and iPad Need iPhone to add Passbook,0
215,__label__NEUTRAL VirginAmerica on iPad and iPhone clicking the CHECKIN link in the email I received at hrs before flight,0
216,"__label__NEGATIVE VirginAmerica your mobile site is broken shows 
headerelevateUsernumOfPointsAvailable    number Points wont let me checkin",-1
217,__label__POSITIVE VirginAmerica I was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,1
218,__label__NEGATIVE VirginAmerica why Cancelled Flight flight VX One sec its delayed on my to airport the next its Cancelled FlightledGonna email or call me to reschedule,-1
219,__label__POSITIVE VirginAmerica I did it but there was a problem in the link from the email for checkin thanks,1
220,__label__POSITIVE VirginAmerica had to change to another airline to get to DC today  Why is united able to land in DC but not you Cost me  ugh,1
221,__label__POSITIVE VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ,1
222,__label__POSITIVE VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love httptcoenIQgbuzj,1
223,__label__POSITIVE VirginAmerica wish I can afford to fly with you next Friday  going back home love everything  about your airline,1
224,__label__NEGATIVE VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas sad,-1
225,__label__NEUTRAL VirginAmerica it’s just a bug report guys,0
226,__label__POSITIVE VirginAmerica hold times at call center are a bit much,1
227,__label__NEUTRAL VirginAmerica Like httptcoVPqEmXUQ,0
228,__label__NEGATIVE VirginAmerica Site down help,-1
229,__label__POSITIVE VirginAmerica You have the best flight attendant ever httptcoPxdELnql,1
230,__label__POSITIVE Awesome RT VirginAmerica Watch nominated films at  feet MeetTheFleet Oscars httptcoDnStITRzWy,1
231,__label__POSITIVE VirginAmerica thanks so much,1
232,__label__NEUTRAL VirginAmerica Trying to reset my password email never arrives Help,0
233,__label__NEUTRAL VirginAmerica the only airline based in Silicon Valley disruption FCmostinnovative incubator  FastCompanys httptcowULbCNcr,0
234,__label__POSITIVE VirginAmerica Very nicely done clappinghands,1
235,__label__NEUTRAL VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow I might even get something bubbly to drink ,0
236,__label__NEUTRAL VirginAmerica What is the reason  for the delay of the departure of VX  from JFK this afternoon,0
237,__label__NEUTRAL VirginAmerica is todays flight from Palm Springs Ca to JFK in NY Cancelled Flightled,0
238,__label__POSITIVE VirginAmerica hahaha facewithtearsofjoyVirginAmerica YOU GUYS ARE AMAZING I LOVE YOU GUYSgrowingheart,1
239,__label__POSITIVE VirginAmerica sounds like fun ,1
240,__label__NEUTRAL VirginAmerica any updates on flight  from Jfk gt Lax,0
241,__label__NEUTRAL virginamerica spruce moose,0
242,__label__POSITIVE VirginAmerica the CSS on your site is a  right now please fix Site unusable,1
243,__label__NEUTRAL VirginAmerica Were on flight  Vegas to Boston today checked in online but our bag count didnt register Can I fix that somehow,0
244,__label__NEUTRAL VirginAmerica classiq luv Virgin America Greetingz,0
245,__label__NEUTRAL VirginAmerica Hi Im trying to do checkin but the website is not working I tried  different browsers and the problem continues,0
246,__label__POSITIVE VirginAmerica Thanks for your great customer service today amp for helping me get all my travel sorted out,1
247,__label__POSITIVE VirginAmerica thanks guys Sweet route over the Rockies airplanemodewason,1
248,__label__POSITIVE VirginAmerica love the s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee,1
249,__label__NEUTRAL VirginAmerica  the passenger in D Flt  that assaulted me shouldnt have flown I trust hes banned Crew filed report to FAANews,0
250,__label__NEUTRAL VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city httptcoSLLYIBEvQ,0
251,__label__NEUTRAL VirginAmerica luggage was severely dentedmissing wheel coming off baggage claim in SAN Luggage agent Miranda I think wasnt any help,0
252,__label__POSITIVE VirginAmerica thank you for the easy itinerary shift for impending weather Quick painless amp free,1
253,__label__POSITIVE VirginAmerica If youd love to see more girls be inspired to become pilots RT our free WOAW event March  at ABQ httptcorfXlVkGDh,1
254,__label__POSITIVE VirginAmerica Thanks Good times there and back Vodkatonics the entire flightcocktailglasssfo,1
255,__label__NEUTRAL VirginAmerica beats expectations shares take off  Santa Cruz Sentinel httptcoqmdQbaiG,0
256,__label__POSITIVE VirginAmerica any plans to start flying direct from DAL to LAS,1
257,__label__NEUTRAL VirginAmerica BIG Lovegratitudempower w httptcoAGRknCpf weRin OSCARS VIPswagbags AvalonHollywood httptcoybMbGsdHn,0
258,__label__POSITIVE VirginAmerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience Thank you Keep it up,1
259,__label__POSITIVE VirginAmerica requested window seat and confirmed window but got stuck in middle seat Not a good way to treat silver memberunamusedface,1
260,__label__POSITIVE VirginAmerica Grand Budapest Hotel OscarsCountdown,1
261,__label__NEUTRAL VirginAmerica This is what you missed NewsVP Next trip to the ,0
262,__label__NEGATIVE VirginAmerica wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,-1
263,__label__NEGATIVE VirginAmerica there is something wrong with you website in Safari iPhone,-1
264,__label__POSITIVE VirginAmerica thanks for gate checking my baggage on your full flight dfwlax  and giving me early boarding too sweet,1
265,__label__NEUTRAL VirginAmerica Already checked in so the page expired X,0
266,__label__POSITIVE VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place,1
267,__label__NEUTRAL VirginAmerica shares rise on Q financial results  USA TODAY httptcolFSPEFEy,0
268,__label__POSITIVE VirginAmerica Adds Pillows Instead of LieFlat Seats in First Class Arms Race httptcorGYwJBbhm,1
269,__label__NEUTRAL VirginAmerica I see what you did there ,0
270,__label__NEUTRAL VirginAmerica way to take advantage of MayweatherPacquiao ,0
271,__label__NEUTRAL VirginAmerica you know Im flying virgin for the fight MayweatherPacquiao,0
272,__label__POSITIVE VirginAmerica your inflight team makes the experience amazing,1
273,__label__POSITIVE VirginAmerica cutest salt and pepper shaker ever Just when I think you guys cant get any better you just do httptcovCKeulgJ,1
