,Label
96,"__label__NEGATIVE This is extremely concerning
Macquarie University is facing a domestic and international enrolment shortfall that… httpstcoQzWMBVknR"
91,__label__NEUTRAL barry monaeltahawy UNSW How about you report all the actual violence being committed against women
99,__label__NEGATIVE We the students of Sydney Medical Program write to express our disappointment upon reading the recent article cal… httpstcoUbJySgGe
12,"__label__NEUTRAL The University of Sydney is open to enroll international students for a research degree 

Link… httpstcozeQEhFaWmo"
9,__label__NEUTRAL The UNSWHeroes program helps prepare graduates to take on the challenges of a rapidly evolving workplace… httpstcobkjgkwhZ
21,__label__NEUTRAL JohnBarilaroMP visited Western Sydney University’s Vietnam campus meeting emerging business leaders and learning… httpstcoXoUpBHtL
53,__label__NEUTRAL Johncon UNSW clementineford monaeltahawy UNSWCentreIdeas All religions r promoting patriarchal agenda… httpstcoONMVqHqGXK
50,__label__POSITIVE UNSW monaeltahawy UNSWCentreIdeas clementineford Except it’s not an ideology It’s the default natural state… httpstcobjppLaUc
42,__label__NEUTRAL UNSW monaeltahawy UNSWCentreIdeas clementineford Guess where im not sending my kids to university
46,__label__NEUTRAL Penetrer IlhanMN Arthur B Robinson American politician biochemist and former faculty member at the University… httpstcozNsnaroo
81,__label__NEGATIVE Hi late nighters some classmates have started a petition for our faculty to have a formal enquiry towards a staff… httpstcosMdikl
59,__label__NEUTRAL Being overweight or obese in your s can take up to  years off your life according to researchers at the University of Sydney
6,"__label__NEUTRAL Spot Assessment Admission amp Scholarship and Information Session by Macquarie University Sydney Australia

Exec… httpstcoKMgBBgFvU"
35,__label__NEUTRAL The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcobeFpbvFRFF
13,__label__NEGATIVE macquarieuniversity the worst University ever
70,__label__NEUTRAL Macquarie appoints Chief Information Officer  This Week At Macquarie University httpstcoaeRwLBM
76,__label__NEUTRAL ProCan how a database of cancer proteins may transform treatment  The University of Sydney httpstcoNiOfjqX
23,__label__POSITIVE Launch of the first ever Cyber Breach Simulation Australia  CybSA  in proud partnership with The Optus Macquar… httpstcoztPVMmSK
3,"__label__NEGATIVE “Age is a criterion for diversity”

Ashton Applewhite thischairrocks at UNTHINKABLE UNSWideas httpstcoviOjTxEJBU"
78,__label__POSITIVE IN THE NEWS  Veteran chief information officer Tim Hume has been named Macquarie University’s new permanent tech c… httpstcouZdnRKXiP
53,__label__POSITIVE The FIRSTregistered Robotics Scholarship is currently available to highachieving international students who apply for an un… httpstcorYldcfLox
27,__label__NEUTRAL Gerek gerek dont chu geddit  The University of Sydney httpstcowCdNdADfP
80,"__label__NEGATIVE “MeToo needs to be for the not rich the not white and the not famous”

MonaEltahawy at Unthinkable… httpstcoyafSIyvUiz"
72,__label__POSITIVE Were working on bug fixes and optimisation of process Well be back bigger and better early in the new year for W… httpstcoBrbwVEkE
97,__label__NEUTRAL  January   STUDY OF ASTRONOMY PROFESSOR BRAGG ON ITS VALUE SUGGESTED CHAIR AT ADELAIDE UNIVERSITY  The D… httpstcovZCETEEA
68,__label__POSITIVE I keep reading a lot of meaningful and impacting initiatives on all things human rights disability social welfare… httpstcokMbVMrOj
24,__label__POSITIVE A new University of Sydney trial lends weight to the expression ‘man’s best friend’ showing a sample of new dog ow… httpstcohlhgrpnI
94,__label__NEUTRAL With Australia’s facial verification bill currently in draft UNSW Senior Lecturer Dr Carmen Leong addresses how ma… httpstcokohggpXu
45,__label__NEUTRAL UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Religion is the politicization of faith
80,__label__POSITIVE AntonCrace An example of one university that over forecasted There will be more to come httpstcoaAStQXEDn
82,__label__NEUTRAL It has signed up for a day trip to the strip nets of the trip including the University of Sydney Alexandria Bond… httpstcoZQAATptKDh
89,__label__NEUTRAL The declaration has been signed by scientists from the University of Sydney Australia Oregon State University and… httpstcoQiwPuHud
83,__label__NEUTRAL Join us  November pm at Birkbeck for the next IHR histsex Seminar Lisa L Wynn joins us from Macquarie Unive… httpstcoOdlSGsPzEr
34,__label__POSITIVE Enjoyed moderating this panel session at CyBSA today  thanks to Christophe Doche and the The Optus Macquarie Univ… httpstcogmgZVhjlS
98,__label__NEUTRAL The University of Technology Sydney UTSEngage has just announced the undergraduate Academic Excellence… httpstcodYghWvGQSb
37,__label__POSITIVE Researchers from the University of Sydney largely thought the meals in the meals kits were healthy and only realise… httpstcoYZoqknBv
43,__label__NEUTRAL Macquarie University purposely timed the announcement of the hiring freeze and the axing of the human sciences depa… httpstcopQAEgbOgN
33,__label__POSITIVE DYK that Australia university graduates earn degrees that are recognised internationally Find out more about studying in… httpstcokcXrf
12,__label__NEUTRAL Australia Mobilise students staff and academics against the closure of Macquarie University’s human sciences facu… httpstcosjmYlXqp
84,"__label__POSITIVE Im pretty sure I have a few Mq people on here 

Please sign and share this important petition httpstcoqbDfnJLyA via MegaphoneAU"
14,__label__NEUTRAL The University of Sydney Scholarship for Ghanaian Students  httpstcoOOoxuZTK Scholarships
9,__label__NEUTRAL UCLIC Research Seminar th of November Annie Lau Macquarie University on Patient work – a context and timeuse… httpstcoDiuXQvXNd
44,__label__POSITIVE Many thanks to The Optus Macquarie University Cyber Security Hub TransTasman Business Circle and CQCommand for c… httpstcosPhwmCv
7,__label__POSITIVE Please sign and share this important petition httpstcobJWvAKEl via MegaphoneAU
75,__label__NEUTRAL NoJobCutsMQ IstandwithMQstaff TimetoTalkToUsMQVC Sign the petition to support Macquarie University staff httpstcoyXDxLxWUGq
89,__label__NEGATIVE UNSW has finally announced the ibis as its ’unofficial’ mascot All bow down to Thoth the god of wisdom and writin… httpstcoQvZUKRsYTW
15,"__label__POSITIVE « The whole purpose of education is to turn mirrors into windows”
Sydney J Harris 

During yest Student event at… httpstcoepVnWfLZY"
47,__label__POSITIVE PaulCameronPain functionfitnes At MacquarieUni they advise an MRES masters first to uparrow research skills amp quest… httpstcoBDaKfxWbIL
50,"__label__NEUTRAL essentially become Americas governmentsponsored religion

medicalsymbolThe Dutch Protocol

Dr John Whitehall Prof of Pe… httpstcoVUAiuuQdR"
30,__label__POSITIVE This study is being conducted by the Department of Gender and Cultural Studies University of Sydney along with c… httpstcogumuYRk
60,__label__POSITIVE UNSW rezaaslan UNSWCentreIdeas bairdjulia Right it cant But it should
41,__label__NEUTRAL jspsaa also extends to visiting Japanese researchers in Australia Here Dr Yuki Tsujii a visiting JSPS overseas f… httpstcoZEWlVlpxLq
98,__label__NEUTRAL monaeltahawy I’ll be reporting UNSW for hosting speakers that incite violence UNSW
46,__label__NEUTRAL TRIVIA ANSWER April  the University of Sydney held the st womens baseball national championships  the A… httpstcosHdRJyhPi
91,__label__POSITIVE Great work by a group of altruistic surgeons led by Macquarie University Professor Anand Deva is performing life… httpstcomWFieIhwp
45,"__label__POSITIVE BFI MAlbadrawi Australian film Starstruck had an Esther Williams moment
Terry also gets one of the most memora… httpstcowIsYvodzTx"
55,"__label__NEUTRAL St Pauls College at the University of Sydney May 

httpstcoewYhSEwtf httpstcoHVYromwdQ"
68,"__label__POSITIVE AIenabled Processes  
Watch the video to learn more about our new Research Centre 

Macquarie University   UN… httpstcoZFQfQEn"
78,__label__NEGATIVE Have you cared for at least  adolescentsyoung adults aged  with cancer to endoflife phase  Would you pa… httpstcoGATwpSMu
2,__label__NEUTRAL How prepared are paramedics to deal with climate change This picture taken by colleague phillipebbs at Charles St… httpstcoplrvjLEQE
14,"__label__POSITIVE RAINBOW  SIEGE GRAND FINALS TODAY

UNSWEsports Clancy VSbutton uquesports Purple live at Brisbane SupanovaExpo
⁠
watch… httpstcodIbuhTzZZV"
99,__label__NEUTRAL Macquarie University confirms they expect international and domestic enrolments to plateau httpstcotstnXLqo… httpstcozVvoQAhp
63,__label__NEUTRAL The University of Sydneys Westmead Applied Research Centre has been awarded a  million grant from Google to … httpstcoiMztQeMhO
17,__label__NEUTRAL I participated in a Sex amp Consent in the Age of MeToo workshop organised by Kate Gleeson at MacquarieUni Plenty… httpstcogItmOrIff
35,__label__POSITIVE Fantastic talk by John Mattick UNSW this morning at IPMC INSBCNRS  ucaresearch on the new world of RNA biology… httpstcolShVZGnd
86,__label__NEGATIVE Macquarie University makes budget cuts due to enrolment troubles httpstcoljsfjakH Industry upgrading  univ… httpstcoHWNieArMj
82,__label__NEUTRAL UTSEngage and MacquarieUni have both fallen in the quarterfinals of the  FISU University × World Cup… httpstcossnJadKa
87,"__label__POSITIVE  Forsyth Street Kingsford  Available for Rent
 Per Week
 personinbed  persontakingbath
GREAT LOCATION NEAR UNSW… httpstcoydVKXASsw"
58,__label__NEUTRAL MeaningfulB AsherWolf The Grace in Sydney Here to give a presentation on MeToo for Macquarie University
1,__label__POSITIVE Very concerning reports about the  removal of protest posters on campus by Macquarie University security  Reportin… httpstcoyJwAYzEb
64,__label__NEUTRAL Zero growth Enrolment troubles force Macquarie University to make budget cuts httpstcoOvaegXOp via smh
55,"__label__NEUTRAL MacquarieUni VC estimates a saving of m by dismembering Faculty of Human Sciences

The University Executive… httpstcohJDieCq"
1,"__label__NEUTRAL “In Australia  of employers admit they’re reluctant to hire people over ”

Ashton Applewhite thischairrocks… httpstcofTeeXeb"
0,__label__NEUTRAL USYD will also conduct a variety of dating activities at oweek From Totoro movies to VR games to learning D print… httpstcoksUMVKKyp
75,__label__POSITIVE monaeltahawy poverty is more profane than saying ‘fuck’ so fucking true centreforideas unsw
37,__label__NEUTRAL Macquarie University is dissolving the human science faculty which psychology is a part of httpstcoeYNmei
34,__label__NEUTRAL glennwofford SirRoby heavyg Tacticalreview DerekEBoucher Nunyabus Gofundyourself SurvivorKitty… httpstcotneuCAjo
2,__label__POSITIVE Older is not lesser  the value of a human being does not decline over time says thischairrocks Ashton Applewh… httpstcoAzjGBOtFn
11,"__label__NEUTRAL ABCTV removing QandAs Broadside ep from iview but leaving it on website inspired me to
 actually get around… httpstcoTVXfl"
56,__label__POSITIVE In Sydney amp interested in reading research Come along to the launch of MQCReading Wed th Nov Todays the last… httpstcozhljXIm
74,__label__POSITIVE Five days visiting Macquarie University Catch up with old friends whiteheavycheckmark Make new friends whiteheavycheckmark Present research whiteheavycheckmarkFinish grading essays crossmark
10,__label__POSITIVE Our WSJ Essay To Really Learn Our Children Need the Power of Play httpstcoZraoaAGHoR UNSW… httpstcoVhlJyrIP
46,__label__NEUTRAL UNSW rezaaslan UNSWCentreIdeas bairdjulia Let’s try it and see
56,"__label__NEUTRAL MJ abused boys
 Scientia Fellow and Associate Professor of Criminology UNSW Michael Salter is a hero Retweet… httpstcoRuxoFPUQHa"
73,__label__POSITIVE tables ready for the bennelongcup at macquarieuniversity  kids from primaryschool tabletennisstars ready to… httpstcoQjWNKlfbxg
87,__label__NEUTRAL The University of Sydney badge was awarded in  by the British Coat of Arms The upper part of LionPassantGuarda… httpstcoNGSmfPO
49,__label__NEUTRAL Drawing people from all across the world Australia has emerged as one of the topnotch education destinations in… httpstcolleMOuM
30,__label__POSITIVE AsherWolf Attending a huge rally organised by students in support of staff facing job cuts at Macquarie University Young people rock
22,__label__POSITIVE A very old friend moves house  This Week At Macquarie University  Minmi is very excited… httpstcoiXIlxknEXH
94,"__label__POSITIVE Left what I said over a year ago during the StickWithVic campaign at httpstcobdnugIMu

Right Macquarie U… httpstcofXbimxp"
24,__label__POSITIVE Please sign and share this important petition httpstcoBpTEqLsr via MegaphoneAU
4,__label__NEUTRAL chappelllouise annahush Janbreck UNSWGVRN Thank you foldedhandsmediumlightskintone
29,__label__NEUTRAL Im in Sydney now Come see me at UNSW Roundhouse tomorrow httpstcosOlzBmkJIE Mar  
37,__label__NEUTRAL trialsnow ChristianCCRS jcu CanTeenAus POCOG UNSWMedicine UNSWObGynPaeds CancerSPHERE thekca… httpstcoHIFoWztK
68,__label__POSITIVE Join us at the iconic Sydney Tower to celebrate  years of Bond University Network in the sky with fellow Bondies… httpstcokTXHNeZeV
85,__label__POSITIVE barry monaeltahawy UNSW have fun with that
86,"__label__POSITIVE The story of the Sydney University emblem
 The top lion of the University of Sydneys school emblem is the Lion Pas… httpstcolBMOiiH"
52,__label__POSITIVE UNSW rezaaslan UNSWCentreIdeas bairdjulia CAN there be Yes Would I want to live in it I cant imagine how
13,__label__POSITIVE monaeltahawy Carriageworks UNSWCentreIdeas clementineford UNSW is this the look you really want to go with T… httpstcoHxPCGCDZ
1,__label__POSITIVE aptlyengineerd The idea of bringing the evergreen into the house represents fertility and new life in the darkne… httpstcoNBwymcm
0,__label__NEGATIVE “Make friends of all ages When you have friends of all ages it’s harder to be prejudiced” thischairrocks… httpstcoWoMIyvku
59,"__label__POSITIVE bryanrivers bettsalas AndrewYang I can show you so much if you would have an open mind

Drugs came from Purdu… httpstcotqFaHnOH"
67,__label__NEUTRAL Join the screening of Our Youth in Taiwan on  November at Macquarie University This documentary the winner of t… httpstcouvbCqtf
32,__label__NEGATIVE Despite warnings about the health risks of Nexium Prevacid Prilosec Protonix and other PPIs researchers say th… httpstcoOmqVsvaE
4,__label__POSITIVE Macquarie University announces scholarships worth AUD  million for Indian students in  httpstcoOyssSOah
28,__label__NEGATIVE UNSW monaeltahawy UNSWCentreIdeas clementineford UNSW please provide the address to make a complaint about racism
95,__label__POSITIVE A huge congratulations to Androvian Clare Wheeler She has been named cocaptain of the Newcastle Jets for the upco… httpstcojTWHSvPooK
27,__label__POSITIVE UNSW UNSWScience mikeletnic Excellent video mikeletnic  spreading the word about our new study Almost all ‘wi… httpstcolQZhWJJr
21,__label__NEUTRAL Congratulations to all pitchers tonight at guo finals macquarieuniversity incubator STARStv googlepixel… httpstcobFgMJEvdG
69,"__label__NEGATIVE “Religion is NOT faith Religion is the language of faith”

RezaAslan at UNTHINKABLE UNSWideas httpstcoCmJYrAt"
60,__label__POSITIVE Screening Our Youth in Taiwan  an online live conversation with director Yue Fu Organised by Macquarie University… httpstcoRqFPHkQqzh
31,__label__NEGATIVE VejGee They’re not farmers it’s even worse they’re veterinarian students from Royal Dick School of Veterina… httpstcoDCtgaAox
45,"__label__POSITIVE Queer Indigenous Futurisms Challenging the past and reimagining the future

Andrew Farrell Indigenous Early Care… httpstcoSqGMlXcapP"
6,__label__POSITIVE TaylorLoverTour taylorswift Is it UNSW It was my first choice of uni to study but I didnt get a scholarship
71,__label__POSITIVE Please sign and share this important petition httpstcouunIhXxq via MegaphoneAU NoJobCutsMQ IstandwithMQstaff TimetoTalkToUsMQVC
25,__label__NEUTRAL To occupy the VC office at Macquarie University To protest cut of jobs and disestablishment of the entire Faculty… httpstcoqvcnEdhl
27,__label__NEUTRAL Australias leading university Macquarie University is offering internship placement opportunities to internationa… httpstcoeaFSCZsSJ
36,__label__POSITIVE Thank you so much for recognizing me today during your State of the University address President Davies It was tru… httpstcoickeRou
72,__label__POSITIVE The Managing Positive Emotions research study seeks participants local to the Macquarie University area Can you… httpstcoCSWXUR
13,__label__NEUTRAL Distinguished physiologist professor David James from the SydneyUni is today awarded an honorary doctorate from t… httpstcoJvudWVSJfI
18,__label__NEUTRAL There will be lots of events during the Oweek The University of Sydney welcomes students from different countries… httpstcofAUwNayyF
39,__label__NEUTRAL UNSW monaeltahawy UNSWCentreIdeas clementineford How is it that a woman so subjugated by the patriarchal syste… httpstcoOlRsjXn
12,"__label__POSITIVE UNSW Arcadian is now live with singles action over at
httpstcogAbAkBHS"
67,"__label__NEUTRAL “Can there be a world without religion Probably not”

RezaAslan UNSWideas httpstcoHbsqDtDgxk"
90,"__label__NEUTRAL Excel Skills for Business
by Macquarie University MacquarieUni 

Data Analysis and Presentation Skills the PwC A… httpstcovtXeEXyDV"
65,__label__NEUTRAL Every uni is finished for the year now but us unsw students still got a month left slightlysmilingface
33,__label__POSITIVE I love November in Australia  mainly because of the fabulous jacaranda seen here at Sydney University httpstcogPyhwRkZ
23,__label__POSITIVE On Monday at Microsofts Ignite conference the company also showed off a new quantum computer control system devel… httpstcohVrYeiII
54,"__label__NEGATIVE Budget black hole hundreds of university staff want answers 

Staff have also raised concerns about financial m… httpstcoMMRRZmOaM"
17,__label__POSITIVE murpharoo This is a great UNSW report Labour should be reading httpstcoPlpeiabR
20,__label__NEUTRAL The purposedriven university DebbieHaski httpstcoZCdCXSQdl YouTube TEDTalks at MacquarieUni… httpstcocRdMZgT
54,__label__POSITIVE muspelhem UNSW monaeltahawy UNSWCentreIdeas clementineford Reading comprehension really isn’t your strong suit
88,"__label__POSITIVE I cant read it without sharing it with all you Have a look
How to hold a successful meeting  Macquarie Universi… httpstcoiNScLrtyWC"
38,__label__NEUTRAL Brains over buildings  Macquarie University staff protest proposed restructuring to resolve infrastructure blowout… httpstcoLizKJrED
23,__label__POSITIVE PsychCardiffUni boivincardiff fertilityeduk ProfJoyceHarper On point  its important and useful to highlight t… httpstcowbodNVPijj
73,__label__POSITIVE There wasnt any horsin around when new University of Minnesota President Joan Gabel came to the UMNCrookston cam… httpstcokuYbbpmwtg
97,__label__NEGATIVE Macquarie University announces hiring freeze due to enrolment troubles httpstcolqxzauyXV
96,__label__NEGATIVE New data shows some of the biggest issues confronting parents these days all seem to have one common element smart… httpstcoteoPzvlqDs
73,__label__POSITIVE A great new case study  video from Dr Kellerman of the University of New South Wales  harnessing the power of Mi… httpstcomDLXkQvdh
89,__label__NEUTRAL  Bronwen Neil Professor of Ancient History at Macquarie University an expert on Byzantine Greek and medieval li… httpstcoQgfIwPvt
50,__label__POSITIVE Please sign and share this important petition httpstcoEYffpLPeO via MegaphoneAU
84,"__label__POSITIVE Congratulations to cimuir runner up in s Bragg UNSW Press Prize for Science Writing

We are proud to have p… httpstcoaOVVTpyuW"
43,__label__POSITIVE Focus on delivering positive outcomes for patients and the rewards will follow  UTS University of Technology… httpstcobPUUWfqn
41,__label__NEUTRAL The SydneyUni Graduate Choir presents Brahms choral masterpiece A German Requiem  a towering work of the chora… httpstcorLLRbVwfY
52,__label__POSITIVE “Scientists have a moral obligation to warn humanity of any great threat” said Dr Thomas Newsome from the School… httpstcotsOWEhDE
66,__label__NEUTRAL UNSW UNSWCentreIdeas rezaaslan bairdjulia sigh
20,"__label__POSITIVE We are proud to sponsor the following delegates at Sydney’s PRINT
Alice Stuart UNE
Alexandra Fogg ANU
Dan… httpstcoSiOnpXOGF"
16,__label__NEUTRAL The University of Sydney Scholarship for Ghanaian Students  httpstcoMOvsjbgxk httpstcoLzAGygF
10,__label__NEUTRAL Wishing all safety in the bushfires in NSW especially those University staff and students based at Port Macquarie… httpstcodEODcRzxa
71,__label__POSITIVE Just Sold by Eva Lu A HIGH RETURNS STUDENT INVESTMENT Walk to University of Sydney Located at  Broadway… httpstcoyxKMVYj
58,"__label__NEGATIVE UNSW clementineford monaeltahawy UNSWCentreIdeas Its not easy earning a living from being emotionally disturbed
Some people try"
49,__label__NEUTRAL UNSW monaeltahawy UNSWCentreIdeas clementineford To call patriarchy an ideology ignores human history and the… httpstcoRXdfnev
31,__label__NEUTRAL UNSW rezaaslan UNSWCentreIdeas bairdjulia Carriageworks Religion is a crutch for people who do not know they a… httpstcoXfuwHSrGIE
38,__label__NEUTRAL At cedanews ChiefsGE in Adelaide listening to Professor Rae Cooper from Sydney University Business Schòol pane… httpstcoIeglpnYeDe
87,"__label__NEUTRAL Big History Connecting Knowledge
History Connecting Knowledge
Macquarie University
httpstcoZNymvwNf"
99,__label__POSITIVE UNSW ScottMorrisonMP UNSWMedicine ItaButtrose VladoPerkovic Except for when its LGBTIQ teens right Scumo
24,__label__POSITIVE Looking forward to seeing this  Caroline Baum with an array of interesting guests FINAL EVENT of thebiganxiety … httpstcoHgPgjvGbA
32,__label__NEUTRAL Why is the University of Sydney being promoted on my timeline bitch I go to WSU leave me alone
57,__label__NEUTRAL SydneyMetro got to Rouse hill this morning before am to find that trains were were  minutes apart I know you h… httpstcoCsyonNU
40,__label__NEGATIVE barry monaeltahawy UNSW Uh which position are you referring to Are you seriously suggesting NOT report… httpstcoyIgujeim
47,__label__NEUTRAL UNSW monaeltahawy UNSWCentreIdeas clementineford It’s conspiracy theory of the highest order to think all men… httpstcovwIDmnVGs
3,__label__NEUTRAL ChrisJ paramedic building Charles Sturt University Port Macquarie Taken by colleague phillipebbs nofilter httpstcojGnNLjaiB
42,__label__NEUTRAL Sydney University Rugby Club are seeking a Director of Women amp Juniors Thank you to the generous attendees at the… httpstcoeNyRdiLN
